N	Z	A	El	mass	m_err
1	0	1	n	1008664.91582	0.00049
0	1	1	H	1007825.03224	9e-05
1	1	2	H	2014101.77811	0.00012
2	1	3	H	3016049.28199	0.00023
1	2	3	He	3016029.32265	0.00022
0	3	3	Li	3030775.0	2147.0
3	1	4	H	4026431.868	107.354
2	2	4	He	4002603.25413	6e-05
1	3	4	Li	4027185.562	227.733
4	1	5	H	5035311.493	96.02
3	2	5	He	5012057.224	21.47
2	3	5	Li	5012537.8	53.677
1	4	5	Be	5039870.0	2150.0
5	1	6	H	6044955.437	272.816
4	2	6	He	6018885.891	0.057
3	3	6	Li	6015122.88742	0.00155
2	4	6	Be	6019726.409	5.848
1	5	6	B	6050800.0	2150.0
6	1	7	H	7052749.0	1078.0
5	2	7	He	7027990.654	8.115
4	3	7	Li	7016003.43666	0.00454
3	4	7	Be	7016928.717	0.076
2	5	7	B	7029712.0	27.0
6	2	8	He	8033934.39	0.095
5	3	8	Li	8022486.246	0.05
4	4	8	Be	8005305.102	0.037
3	5	8	B	8024607.316	1.073
2	6	8	C	8037643.042	19.584
7	2	9	He	9043946.419	50.259
6	3	9	Li	9026790.191	0.2
5	4	9	Be	9012183.066	0.082
4	5	9	B	9013329.649	0.969
3	6	9	C	9031037.207	2.293
8	2	10	He	10052815.308	99.676
7	3	10	Li	10035483.453	13.656
6	4	10	Be	10013534.695	0.086
5	5	10	B	10012936.862	0.016
4	6	10	C	10016853.218	0.075
3	7	10	N	10041653.543	429.417
8	3	11	Li	11043723.581	0.66
7	4	11	Be	11021661.081	0.255
6	5	11	B	11009305.166	0.013
5	6	11	C	11011432.597	0.064
4	7	11	N	11026090.945	49.548
9	3	12	Li	12052613.941	32.213
8	4	12	Be	12026922.083	2.048
7	5	12	B	12014352.638	1.418
6	6	12	C	12000000.0	0.0
5	7	12	N	12018613.182	1.073
4	8	12	O	12034261.747	25.765
10	3	13	Li	13061171.503	75.15
9	4	13	Be	13036134.507	10.929
8	5	13	B	13017779.981	1.073
7	6	13	C	13003354.8352	0.00023
6	7	13	N	13005738.609	0.289
5	8	13	O	13024815.437	10.226
10	4	14	Be	14042892.92	141.97
9	5	14	B	14025404.012	22.773
8	6	14	C	14003241.9884	0.00403
7	7	14	N	14003074.0045	0.00021
6	8	14	O	14008596.706	0.027
5	9	14	F	14034315.199	44.142
11	4	15	Be	15053490.215	177.99
10	5	15	B	15031087.953	22.578
9	6	15	C	15010599.256	0.858
8	7	15	N	15000108.8989	0.00065
7	8	15	O	15003065.618	0.526
6	9	15	F	15017785.139	15.029
5	10	15	Ne	15043172.98	71.588
12	4	16	Be	16061672.036	177.99
11	5	16	B	16039841.92	26.375
10	6	16	C	16014701.256	3.84
9	7	16	N	16006101.925	2.47
8	8	16	O	15994914.6196	0.00017
7	9	16	F	16011465.723	8.932
6	10	16	Ne	16025750.864	21.986
12	5	17	B	17046931.399	219.114
11	6	17	C  2	17022578.672	18.641
10	7	17	N	17008448.877	16.103
9	8	17	O	16999131.7566	0.0007
8	9	17	F	17002095.238	0.266
7	10	17	Ne	17017713.959	0.38
6	11	17	Na	17037760.0	1075.0
13	5	18	B	18055601.682	219.18
12	6	18	C	18026751.932	32.206
11	7	18	N	18014077.565	19.935
10	8	18	O	17999159.6128	0.00076
9	9	18	F	18000937.325	0.497
8	10	18	Ne	18005708.693	0.39
7	11	18	Na	18026879.386	100.785
14	5	19	B	19064166.0	564.0
13	6	19	C	19034797.596	105.625
12	7	19	N  p	19017022.419	17.61
11	8	19	O	19003577.97	2.83
10	9	19	F	18998403.1629	0.00093
9	10	19	Ne	19001880.903	0.171
8	11	19	Na	19013880.272	11.309
7	12	19	Mg	19034169.182	53.678
15	5	20	B	20073484.0	859.0
14	6	20	C	20040261.732	247.585
13	7	20	N	20023367.295	84.696
12	8	20	O	20004075.358	0.95
11	9	20	F	19999981.252	0.031
10	10	20	Ne	19992440.1762	0.00168
9	11	20	Na	20007354.426	1.195
8	12	20	Mg	20018763.075	2.0
16	5	21	B	21083017.0	966.0
15	6	21	C	21049000.0	640.0
14	7	21	N	21027087.573	143.906
13	8	21	O	21008654.95	12.882
12	9	21	F	20999948.894	1.932
11	10	21	Ne	20993846.685	0.041
10	11	21	Na	20997654.702	0.105
9	12	21	Mg	21011705.764	0.81
8	13	21	Al	21028975.0	640.0
16	6	22	C	22057553.99	248.515
15	7	22	N	22034100.918	223.06
14	8	22	O	22009965.746	61.107
13	9	22	F	22002998.809	13.31
12	10	22	Ne	21991385.109	0.018
11	11	22	Na	21994437.418	0.183
10	12	22	Mg	21999570.654	0.335
9	13	22	Al	22019540.0	430.0
8	14	22	Si	22035790.0	540.0
17	6	23	C	23068890.0	1070.0
16	7	23	N	23039421.0	451.5
15	8	23	O	23015696.686	130.663
14	9	23	F	23003526.874	35.77
13	10	23	Ne	22994466.9	0.112
12	11	23	Na	22989769.282	0.00194
11	12	23	Mg	22994123.941	0.17
10	13	23	Al	23007244.351	0.37
9	14	23	Si	23025440.0	540.0
17	7	24	N	24050390.0	430.0
16	8	24	O	24019861.0	177.0
15	9	24	F	24008099.37	104.853
14	10	24	Ne	23993610.645	0.55
13	11	24	Na	23990963.011	0.017
12	12	24	Mg	23985041.697	0.014
11	13	24	Al	23999947.541	0.25
10	14	24	Si	24011535.441	20.904
9	15	24	P	24035770.0	540.0
18	7	25	N	25060100.0	540.0
17	8	25	O	25029338.919	177.225
16	9	25	F	25012167.727	103.535
15	10	25	Ne	24997814.799	31.181
14	11	25	Na	24989953.973	1.288
13	12	25	Mg	24985836.964	0.05
12	13	25	Al	24990428.306	0.069
11	14	25	Si	25004108.801	10.735
10	15	25	P	25021190.0	430.0
18	8	26	O	26037210.155	177.081
17	9	26	F	26020020.392	119.377
16	10	26	Ne	26000516.496	19.784
15	11	26	Na	25992634.649	3.759
14	12	26	Mg	25982592.971	0.032
13	13	26	Al	25986891.863	0.071
12	14	26	Si	25992333.804	0.115
11	15	26	P	26011780.0	210.0
10	16	26	S	26029070.0	640.0
19	8	27	O	27047955.0	537.0
18	9	27	F	27027322.0	418.5
17	10	27	Ne	27007569.462	97.445
16	11	27	Na	26994076.408	4.0
15	12	27	Mg	26984340.628	0.053
14	13	27	Al	26981538.408	0.05
13	14	27	Si	26986704.688	0.115
12	15	27	P	26999224.409	28.277
11	16	27	S	27018280.0	430.0
20	8	28	O	28055910.0	750.0
19	9	28	F	28036223.095	421.928
18	10	28	Ne	28012130.767	135.339
17	11	28	Na	27998939.0	11.0
16	12	28	Mg	27983876.606	2.148
15	13	28	Al	27981910.087	0.083
14	14	28	Si	27976926.535	0.00052
13	15	28	P	27992326.585	1.236
12	16	28	S	28004372.766	171.767
11	17	28	Cl	28029540.0	640.0
20	9	29	F	29043103.0	564.0
19	10	29	Ne	29019753.0	160.5
18	11	29	Na	29002877.092	7.876
17	12	29	Mg	28988617.393	12.238
16	13	29	Al	28980453.164	0.37
15	14	29	Si	28976494.6652	0.0006
14	15	29	P	28981800.368	0.385
13	16	29	S	28996611.448	53.677
12	17	29	Cl	29014130.178	202.555
21	9	30	F	30051650.0	640.0
20	10	30	Ne	30024992.235	271.875
19	11	30	Na	30009097.932	5.074
18	12	30	Mg	29990462.826	3.7
17	13	30	Al	29982968.388	3.1
16	14	30	Si	29973770.136	0.023
15	15	30	P	29978313.489	0.069
14	16	30	S	29984906.769	0.221
13	17	30	Cl	30004770.0	210.0
12	18	30	Ar	30022470.511	221.316
22	9	31	F	31060272.0	587.0
21	10	31	Ne	31033474.816	285.772
20	11	31	Na	31013146.656	15.0
19	12	31	Mg	30996648.232	3.3
18	13	31	Al	30983949.756	2.4
17	14	31	Si	30975363.194	0.046
16	15	31	P	30973761.9986	0.00072
15	16	31	S	30979557.007	0.246
14	17	31	Cl	30992448.098	3.7
13	18	31	Ar	31012158.0	215.0
22	10	32	Ne	32039720.0	540.0
21	11	32	Na	32020011.026	40.0
20	12	32	Mg	31999110.139	3.5
19	13	32	Al	31988084.339	7.7
18	14	32	Si	31974151.539	0.32
17	15	32	P	31973907.643	0.042
16	16	32	S	31972071.1744	0.00141
15	17	32	Cl	31985684.637	0.603
14	18	32	Ar	31997637.826	1.9
13	19	32	K	32022650.0	430.0
23	10	33	Ne	33049380.0	640.0
22	11	33	Na	33025529.0	483.0
21	12	33	Mg	33005327.245	3.1
20	13	33	Al	32990877.687	7.5
19	14	33	Si	32977976.964	0.75
18	15	33	P	32971725.694	1.17
17	16	33	S	32971458.9099	0.00145
16	17	33	Cl	32977451.989	0.419
15	18	33	Ar	32989925.547	0.43
14	19	33	K	33007560.0	210.0
24	10	34	Ne	34056728.0	551.0
23	11	34	Na	34034010.0	643.5
22	12	34	Mg	34008935.481	31.0
21	13	34	Al	33996779.057	3.3
20	14	34	Si	33978575.437	15.155
19	15	34	P	33973645.887	0.87
18	16	34	S	33967867.012	0.047
17	17	34	Cl	33973762.491	0.052
16	18	34	Ar	33980270.093	0.083
15	19	34	K	33998690.0	210.0
14	20	34	Ca	34014870.0	320.0
24	11	35	Na	35041043.0	720.0
23	12	35	Mg	35016790.0	289.5
22	13	35	Al	34999759.817	7.9
21	14	35	Si 2	34984550.134	38.494
20	15	35	P	34973314.053	2.003
19	16	35	S	34969032.322	0.043
18	17	35	Cl	34968852.694	0.038
17	18	35	Ar	34975257.721	0.73
16	19	35	K	34988005.407	0.55
15	20	35	Ca	35005140.0	210.0
25	11	36	Na	36049708.0	728.0
24	12	36	Mg	36021879.0	741.0
23	13	36	Al	36006388.0	160.5
22	14	36	Si	35986649.271	77.077
21	15	36	P	35978259.619	14.078
20	16	36	S	35967080.699	0.201
19	17	36	Cl	35968306.822	0.038
18	18	36	Ar	35967545.105	0.028
17	19	36	K	35981302.01	0.366
16	20	36	Ca	35993074.406	42.941
15	21	36	Sc	36016480.0	320.0
26	11	37	Na	37057471.0	737.0
25	12	37	Mg	37030286.265	750.35
24	13	37	Al	37010531.0	193.5
23	14	37	Si	36992945.191	122.179
22	15	37	P  p	36979606.956	40.738
21	16	37	S	36971125.507	0.212
20	17	37	Cl	36965902.584	0.055
19	18	37	Ar	36966776.314	0.221
18	19	37	K	36973375.889	0.1
17	20	37	Ca	36985897.852	0.68
16	21	37	Sc	37003779.0	322.0
26	12	38	Mg	38036580.0	540.0
25	13	38	Al	38017402.0	402.0
24	14	38	Si	37995523.0	112.5
23	15	38	P	37984303.105	77.918
22	16	38	S	37971163.31	7.699
21	17	38	Cl	37968010.418	0.105
20	18	38	Ar	37962732.104	0.209
19	19	38	K	37969081.116	0.209
18	20	38	Ca	37976319.226	0.208
17	21	38	Sc	37995438.0	215.0
16	22	38	Ti	38011669.0	322.0
27	12	39	Mg	39045384.0	551.0
26	13	39	Al	39022169.0	429.0
25	14	39	Si	39002491.0	145.5
24	15	39	P	38986285.865	120.929
23	16	39	S  2	38975133.852	53.677
22	17	39	Cl	38968008.162	1.859
21	18	39	Ar	38964313.039	5.367
20	19	39	K	38963706.4866	0.00492
19	20	39	Ca	38970710.813	0.64
18	21	39	Sc 2	38984784.97	25.765
17	22	39	Ti	39002362.0	215.0
28	12	40	Mg	40051906.0	537.0
27	13	40	Al	40029619.0	429.0
26	14	40	Si	40005829.0	370.5
25	15	40	P	39991288.865	164.876
24	16	40	S	39975482.562	4.274
23	17	40	Cl	39970415.469	34.423
22	18	40	Ar	39962383.1238	0.0024
21	19	40	K	39963998.166	0.06
20	20	40	Ca	39962590.865	0.022
19	21	40	Sc	39977967.292	3.036
18	22	40	Ti	39990498.721	171.767
17	23	40	V	40013065.0	322.0
28	13	41	Al	41035878.0	537.0
27	14	41	Si	41013011.0	595.5
26	15	41	P	40994654.0	129.0
25	16	41	S	40979593.451	4.4
24	17	41	Cl	40970684.525	73.777
23	18	41	Ar	40964500.571	0.372
22	19	41	K	40961825.258	0.00408
21	20	41	Ca	40962277.921	0.147
20	21	41	Sc	40969251.104	0.088
19	22	41	Ti	40983148.0	30.0
18	23	41	V	41000344.0	215.0
29	13	42	Al	42043049.0	644.0
28	14	42	Si	42017681.0	537.0
27	15	42	P	42001084.0	337.5
26	16	42	S	41981065.1	3.0
25	17	42	Cl	41973342.0	64.0
24	18	42	Ar	41963045.736	6.2
23	19	42	K	41962402.306	0.113
22	20	42	Ca	41958617.828	0.159
21	21	42	Sc	41965516.522	0.181
20	22	42	Ti	41973049.022	0.297
19	23	42	V	41991820.0	210.0
18	24	42	Cr	42007225.0	429.0
30	13	43	Al	43050478.0	859.0
29	14	43	Si	43024800.0	640.0
28	15	43	P	43005024.0	595.5
27	16	43	S	42986907.635	5.335
26	17	43	Cl	42974063.7	66.407
25	18	43	Ar	42965636.055	5.7
24	19	43	K	42960734.703	0.44
23	20	43	Ca	42958766.43	0.244
22	21	43	Sc	42961150.472	1.999
21	22	43	Ti -	42968522.521	7.777
20	23	43	V	42980766.0	46.0
19	24	43	Cr	42997885.0	429.0
30	14	44	Si	44030610.0	640.0
29	15	44	P	44011219.0	537.0
28	16	44	S	43990118.848	5.6
27	17	44	Cl	43978116.312	146.346
26	18	44	Ar	43964923.816	1.7
25	19	44	K	43961586.986	0.45
24	20	44	Ca	43955481.543	0.348
23	21	44	Sc	43959402.867	1.884
22	22	44	Ti	43959689.951	0.751
21	23	44	V	43974110.0	195.0
20	24	44	Cr	43985657.0	322.0
19	25	44	Mn	44007547.0	537.0
31	14	45	Si	45040247.0	751.0
30	15	45	P	45016747.0	537.0
29	16	45	S	44995717.0	1111.5
28	17	45	Cl	44980394.353	146.177
27	18	45	Ar	44968039.733	0.55
26	19	45	K	44960691.493	0.56
25	20	45	Ca	44956186.326	0.392
24	21	45	Sc	44955907.503	0.724
23	22	45	Ti	44958121.211	0.907
22	23	45	V	44965768.951	0.935
21	24	45	Cr	44979050.0	38.0
20	25	45	Mn	44994364.0	429.0
19	26	45	Fe	45014774.0	429.0
31	15	46	P	46024659.0	751.0
30	16	46	S	46000365.0	537.0
29	17	46	Cl	45985121.323	224.006
28	18	46	Ar	45968037.446	1.2
27	19	46	K	45961981.586	0.78
26	20	46	Ca	45953687.988	2.399
25	21	46	Sc	45955167.485	0.732
24	22	46	Ti	45952626.856	0.176
23	23	46	V	45960197.971	0.216
22	24	46	Cr	45968360.97	12.295
21	25	46	Mn	45986506.0	429.0
20	26	46	Fe	46000977.0	537.0
32	15	47	P	47031895.0	859.0
31	16	47	S	47007912.0	537.0
30	17	47	Cl	46989501.0	429.0
29	18	47	Ar	46972768.114	1.2
28	19	47	K	46961661.614	1.5
27	20	47	Ca	46954541.394	2.385
26	21	47	Sc	46952402.704	2.074
25	22	47	Ti	46951757.752	0.123
24	23	47	V	46954904.038	0.181
23	24	47	Cr	46962895.544	6.473
22	25	47	Mn	46975774.0	34.0
21	26	47	Fe	46992625.0	537.0
20	27	47	Co	47011133.0	644.0
32	16	48	S	48013700.0	640.0
31	17	48	Cl	47995405.0	537.0
30	18	48	Ar	47976080.0	330.0
29	19	48	K	47965341.186	0.83
28	20	48	Ca	47952522.904	0.103
27	21	48	Sc	47952223.157	5.314
26	22	48	Ti	47947940.932	0.117
25	23	48	V	47952251.229	1.046
24	24	48	Cr	47954028.667	7.862
23	25	48	Mn	47968549.085	7.449
22	26	48	Fe	47980676.0	429.0
21	27	48	Co	48001610.0	537.0
20	28	48	Ni	48018028.0	538.0
33	16	49	S	49022644.0	716.0
32	17	49	Cl	49001009.0	644.0
31	18	49	Ar	48981546.0	429.0
30	19	49	K	48968210.755	0.86
29	20	49	Ca	48955662.875	0.216
28	21	49	Sc	48950014.423	2.896
27	22	49	Ti	48947864.627	0.122
26	23	49	V	48948510.746	0.889
25	24	49	Cr	48951332.955	2.407
24	25	49	Mn	48959612.585	2.42
23	26	49	Fe	48973429.0	26.0
22	27	49	Co	48989393.0	537.0
21	28	49	Ni	49008803.0	644.0
33	17	50	Cl	50008309.0	644.0
32	18	50	Ar	49985690.0	537.0
31	19	50	K	49972380.017	8.3
30	20	50	Ca	49957499.217	1.7
29	21	50	Sc	49952176.415	16.103
28	22	50	Ti	49944785.839	0.129
27	23	50	V	49947155.845	0.438
26	24	50	Cr	49946041.443	0.468
25	25	50	Mn	49954237.391	0.474
24	26	50	Fe	49962988.0	9.0
23	27	50	Co	49981073.0	429.0
22	28	50	Ni	49995577.0	537.0
34	17	51	Cl	51015341.0	751.0
33	18	51	Ar	50992818.0	644.0
32	19	51	K	50975827.867	14.006
31	20	51	Ca	50960995.665	0.56
30	21	51	Sc -	50953592.095	21.471
29	22	51	Ti	50946609.6	0.541
28	23	51	V	50943956.867	0.43
27	24	51	Cr	50944764.652	0.429
26	25	51	Mn	50948208.065	0.539
25	26	51	Fe	50956840.779	9.623
24	27	51	Co	50970647.0	52.0
23	28	51	Ni	50987225.0	537.0
34	18	52	Ar	51998626.0	644.0
33	19	52	K	51981602.0	36.0
32	20	52	Ca	51963213.648	0.72
31	21	52	Sc	51956582.351	87.871
30	22	52	Ti	51946891.96	7.592
29	23	52	V	51944772.839	0.45
28	24	52	Cr	51940504.992	0.364
27	25	52	Mn	51945563.488	1.98
26	26	52	Fe	51948115.217	5.493
25	27	52	Co	51963112.0	9.0
24	28	52	Ni	51976028.0	429.0
23	29	52	Cu	51997552.0	644.0
35	18	53	Ar	53007290.0	750.0
34	19	53	K	52986800.0	120.0
33	20	53	Ca	52968451.0	47.0
32	21	53	Sc	52958231.821	101.006
31	22	53	Ti	52949724.785	107.406
30	23	53	V	52944335.593	3.349
29	24	53	Cr	52940646.961	0.373
28	25	53	Mn	52941287.742	0.483
27	26	53	Fe	52945305.574	1.777
26	27	53	Co	52954203.217	1.839
25	28	53	Ni	52968190.0	27.0
24	29	53	Cu	52985754.0	537.0
35	19	54	K	53994630.0	640.0
34	20	54	Ca	53972989.0	52.0
33	21	54	Sc	53963616.62	292.862
32	22	54	Ti	53951022.786	88.526
31	23	54	V	53946437.472	16.107
30	24	54	Cr	53938878.012	0.378
29	25	54	Mn	53940356.429	1.136
28	26	54	Fe	53939608.306	0.399
27	27	54	Co	53948459.192	0.411
26	28	54	Ni	53957833.0	5.0
25	29	54	Cu	53977015.0	429.0
24	30	54	Zn	53993267.0	430.0
36	19	55	K	55000760.0	750.0
35	20	55	Ca	54980300.0	322.0
34	21	55	Sc	54967622.601	487.756
33	22	55	Ti	54955267.465	173.486
32	23	55	V	54947241.114	102.098
31	24	55	Cr	54940837.289	0.428
30	25	55	Mn	54938043.172	0.325
29	26	55	Fe	54938291.283	0.367
28	27	55	Co	54941996.531	0.459
27	28	55	Ni	54951329.961	0.771
26	29	55	Cu	54966038.0	167.0
25	30	55	Zn	54984358.0	429.0
37	19	56	K	56008510.0	860.0
36	20	56	Ca	55985080.0	429.0
35	21	56	Sc	55973320.0	630.0
34	22	56	Ti	55957788.19	130.164
33	23	56	V	55950450.694	189.907
32	24	56	Cr	55940649.107	0.647
31	25	56	Mn	55938902.947	0.355
30	26	56	Fe	55934935.617	0.324
29	27	56	Co	55939838.15	0.529
28	28	56	Ni	55942127.872	0.452
27	29	56	Cu	55958515.0	16.0
26	30	56	Zn	55972743.0	429.0
25	31	56	Ga	55996361.0	537.0
37	20	57	Ca	56992620.0	429.0
36	21	57	Sc	56977460.0	1400.0
35	22	57	Ti	56963590.068	275.274
34	23	57	V	56952320.197	86.397
33	24	57	Cr	56943612.409	1.146
32	25	57	Mn	56938285.968	1.615
31	26	57	Fe	56935392.134	0.326
30	27	57	Co	56936289.913	0.572
29	28	57	Ni	56939791.525	0.624
28	29	57	Cu	56949211.819	0.557
27	30	57	Zn	56965056.0	215.0
26	31	57	Ga	56983886.0	429.0
38	20	58	Ca	57997940.0	537.0
37	21	58	Sc	57984030.0	429.0
36	22	58	Ti	57966602.0	215.0
35	23	58	V	57956626.932	95.947
34	24	58	Cr	57944184.502	1.6
33	25	58	Mn	57940066.646	2.9
32	26	58	Fe	57933273.738	0.368
31	27	58	Co	57935751.429	1.245
30	28	58	Ni	57935341.78	0.4
29	29	58	Cu	57944532.413	0.621
28	30	58	Zn	57954590.428	53.678
27	31	58	Ga	57974729.0	322.0
26	32	58	Ge	57992399.0	537.0
38	21	59	Sc	58988940.0	429.0
37	22	59	Ti	58972614.0	215.0
36	23	59	V	58959385.659	173.778
35	24	59	Cr	58948377.81	232.279
34	25	59	Mn	58940391.113	2.5
33	26	59	Fe	58934873.649	0.38
32	27	59	Co	58933193.656	0.448
31	28	59	Ni	58934345.571	0.402
30	29	59	Cu	58939496.844	0.584
29	30	59	Zn	58949312.017	0.827
28	31	59	Ga	58963757.0	183.0
27	32	59	Ge	58982963.0	429.0
39	21	60	Sc	59995650.0	537.0
38	22	60	Ti	59976028.0	322.0
37	23	60	V	59964313.29	236.35
36	24	60	Cr	59949898.146	207.83
35	25	60	Mn	59943136.576	2.5
34	26	60	Fe	59934070.411	3.659
33	27	60	Co	59933815.667	0.455
32	28	60	Ni	59930785.256	0.403
31	29	60	Cu	59937363.916	1.736
30	30	60	Zn	59941841.45	0.605
29	31	60	Ga	59957498.0	215.0
28	32	60	Ge	59970918.0	322.0
27	33	60	As	59994128.0	429.0
40	21	61	Sc	61001000.0	644.0
39	22	61	Ti	60982448.0	429.0
38	23	61	V	60967250.0	960.0
37	24	61	Cr	60954400.963	108.793
36	25	61	Mn	60944452.544	2.5
35	26	61	Fe	60936746.244	2.8
34	27	61	Co	60932476.145	0.908
33	28	61	Ni	60931054.945	0.405
32	29	61	Cu	60933457.371	1.023
31	30	61	Zn	60939506.96	17.068
30	31	61	Ga	60949398.859	40.787
29	32	61	Ge	60964187.0	322.0
28	33	61	As	60981857.0	322.0
40	22	62	Ti	61986581.0	429.0
39	23	62	V	61972650.0	320.0
38	24	62	Cr	61956097.451	158.991
37	25	62	Mn	61947907.386	7.023
36	26	62	Fe	61936791.812	3.0
35	27	62	Co	61934058.317	19.94
34	28	62	Ni	61928344.871	0.47
33	29	62	Cu	61932594.921	0.694
32	30	62	Zn	61934333.477	0.67
31	31	62	Ga	61944189.757	0.694
30	32	62	Ge	61955190.0	150.0
29	33	62	As	61973891.0	322.0
41	22	63	Ti	62993827.0	537.0
40	23	63	V	62976500.0	429.0
39	24	63	Cr	62961344.384	384.407
38	25	63	Mn	62949664.675	4.0
37	26	63	Fe	62940272.7	4.618
36	27	63	Co	62933599.744	19.941
35	28	63	Ni	62929669.139	0.472
34	29	63	Cu	62929597.236	0.472
33	30	63	Zn	62933211.167	1.676
32	31	63	Ga	62939294.195	1.4
31	32	63	Ge	62949628.0	40.0
30	33	63	As	62964036.0	215.0
42	22	64	Ti	63998900.0	644.0
41	23	64	V	63982480.0	429.0
40	24	64	Cr	63964058.0	472.0
39	25	64	Mn	63953849.37	3.8
38	26	64	Fe	63940987.763	5.386
37	27	64	Co	63935810.291	21.476
36	28	64	Ni	63927966.341	0.51
35	29	64	Cu	63929763.857	0.481
34	30	64	Zn	63929141.772	0.694
33	31	64	Ga	63936840.365	1.533
32	32	64	Ge	63941689.913	4.0
31	33	64	As	63957560.0	218.0
30	34	64	Se	63971336.0	540.0
42	23	65	V	64987354.0	537.0
41	24	65	Cr	64969705.0	322.0
40	25	65	Mn	64956019.75	4.0
39	26	65	Fe	64945015.324	5.487
38	27	65	Co	64936462.073	2.235
37	28	65	Ni	64930084.697	0.531
36	29	65	Cu	64927789.487	0.697
35	30	65	Zn	64929240.532	0.697
34	31	65	Ga	64932734.395	0.874
33	32	65	Ge	64939368.137	2.323
32	33	65	As	64949611.0	91.0
31	34	65	Se	64964552.0	322.0
43	23	66	V	65993977.0	537.0
42	24	66	Cr	65973462.0	429.0
41	25	66	Mn	65960546.834	12.0
40	26	66	Fe	65946249.96	4.4
39	27	66	Co	65939442.945	15.0
38	28	66	Ni	65929139.334	1.5
37	29	66	Cu	65928868.814	0.703
36	30	66	Zn	65926033.704	0.804
35	31	66	Ga	65931589.832	1.176
34	32	66	Ge	65933862.126	2.577
33	33	66	As	65944148.779	6.1
32	34	66	Se	65955276.0	215.0
44	23	67	V	66999302.0	644.0
43	24	67	Cr	66979946.0	429.0
42	25	67	Mn	66964079.0	322.0
41	26	67	Fe	66951035.482	290.163
40	27	67	Co	66940609.628	6.917
39	28	67	Ni	66931569.414	3.1
38	29	67	Cu	66927729.526	0.959
37	30	67	Zn	66927127.482	0.815
36	31	67	Ga	66928202.384	1.268
35	32	67	Ge -	66932733.62	5.003
34	33	67	As	66939251.111	0.475
33	34	67	Se	66949994.0	72.0
32	35	67	Br	66964798.0	429.0
44	24	68	Cr	67984112.0	537.0
43	25	68	Mn	67969533.0	429.0
42	26	68	Fe	67953314.875	392.121
41	27	68	Co	67944250.135	203.433
40	28	68	Ni	67931868.789	3.2
39	29	68	Cu	67929610.889	1.7
38	30	68	Zn	67924844.291	0.841
37	31	68	Ga	67927980.221	1.538
36	32	68	Ge	67928095.308	2.014
35	33	68	As	67936774.13	1.981
34	34	68	Se	67941825.239	0.532
33	35	68	Br	67958356.0	278.0
45	24	69	Cr	68990789.0	537.0
44	25	69	Mn	68973408.0	429.0
43	26	69	Fe	68958100.0	429.0
42	27	69	Co	68946023.102	150.839
41	28	69	Ni	68935610.268	4.0
40	29	69	Cu	68929429.268	1.5
39	30	69	Zn	68926550.418	0.858
38	31	69	Ga	68925573.531	1.285
37	32	69	Ge	68927964.471	1.414
36	33	69	As	68932246.294	34.352
35	34	69	Se	68939414.847	1.599
34	35	69	Br	68950338.413	45.092
33	36	69	Kr	68965180.0	430.0
46	24	70	Cr	69995191.0	644.0
45	25	70	Mn	69979066.0	537.0
44	26	70	Fe	69960805.0	429.0
43	27	70	Co	69949941.0	322.0
42	28	70	Ni	69936431.303	2.301
41	29	70	Cu	69932392.079	1.161
40	30	70	Zn	69925319.181	2.058
39	31	70	Ga	69926021.917	1.289
38	32	70	Ge	69924248.706	0.9
37	33	70	As	69930926.151	53.684
36	34	70	Se	69933515.523	1.7
35	35	70	Br	69944792.323	16.0
34	36	70	Kr	69955877.0	215.0
46	25	71	Mn	70983285.0	537.0
45	26	71	Fe	70966259.0	429.0
44	27	71	Co	70952366.923	499.23
43	28	71	Ni	70940518.964	2.401
42	29	71	Cu	70932676.832	1.6
41	30	71	Zn	70927719.58	2.849
40	31	71	Ga	70924702.536	0.871
39	32	71	Ge	70924952.284	0.894
38	33	71	As	70927113.758	4.473
37	34	71	Se	70932209.432	3.0
36	35	71	Br	70939342.156	5.799
35	36	71	Kr	70950265.696	138.238
34	37	71	Rb	70965582.0	429.0
47	25	72	Mn	71989372.0	644.0
46	26	72	Fe	71969479.0	537.0
45	27	72	Co	71956844.0	429.0
44	28	72	Ni	71941785.926	2.401
43	29	72	Cu	71935820.307	1.5
42	30	72	Zn	71926842.807	2.3
41	31	72	Ga	71926367.434	0.878
40	32	72	Ge	71922075.826	0.081
39	33	72	As	71926752.295	4.383
38	34	72	Se	71927140.507	2.1
37	35	72	Br	71936594.607	1.1
36	36	72	Kr	71942092.407	8.6
35	37	72	Rb	71958851.0	537.0
47	26	73	Fe	72975416.0	537.0
46	27	73	Co	72959830.0	429.0
45	28	73	Ni	72946206.683	2.601
44	29	73	Cu	72936674.378	2.084
43	30	73	Zn	72929582.582	2.0
42	31	73	Ga	72925174.682	1.8
41	32	73	Ge	72923458.956	0.061
40	33	73	As	72923829.089	4.136
39	34	73	Se	72926754.883	7.969
38	35	73	Br	72931671.621	7.8
37	36	73	Kr	72939289.195	7.061
36	37	73	Rb	72950529.0	215.0
35	38	73	Sr	72965700.0	430.0
48	26	74	Fe	73978969.0	644.0
47	27	74	Co	73964766.0	537.0
46	28	74	Ni	73947980.0	210.0
45	29	74	Cu	73939874.862	6.6
44	30	74	Zn	73929407.262	2.7
43	31	74	Ga	73926945.726	3.214
42	32	74	Ge	73921177.762	0.013
41	33	74	As	73923928.598	1.817
